heading,description
"If you ask me, Asia Cup should’ve only be played in Pakistan: Babar AzamSign In to read",The Pakistan Cricket Board (PCB) have hosting rights for the Asia Cup but the Asian Cricket Council headed by Jay Shah opted for 'Hybrid Model' where Sri Lanka became the co-hosts after it was clear that Indian cricket team won't travel to Pakistan.
ODI cricket has always brought the best out of me: Virat KohliSign In to read,"The World Cup begins on October 5 in Ahmedabad, and hosts India will enter as one of the favorites despite not winning an ICC title in the past 10 years."
"Explained: Magnus Carlsen vs Hans Niemann controversy, what was American GM up to and what happens nextSign In to read","Even though the out-of-court settlement of the cheating row means both players can face off again in chess games, the final word may not have been spoken about the issue yet."
Playing high-risk game in ODIs is my individual choice: Rohit SharmaSign In to read,"At the end of the 2019 World Cup, Rohit had scored 27 hundreds but in the last four years he could add only three more centuries to his tally. The captain largely believes that this is because of the high-risk game he has adopted."
New T20 skipper Mitchell Marsh backs debutants to shine for AustraliaSign In to read,"The match on Wednesday is the first of three fixtures at the same Durban venue in five days before the teams play five One-Day Internationals in the build-up to the Cricket World Cup in India, which starts on Oct. 8."
"Asia Cup 2023: Binura Fernando, Pramod Madushan, Dushan Hemantha back in Sri Lanka squadSign In to read","Sri Lanka's Asia Cup squad has been severely depleted by injuries, forcing key players to miss the competition."
SC refuses to interfere with Punjab and Haryana HC order staying WFI pollsSign In to read,"The development came days after UWW, the world governing body for wrestling, suspended the WFI for not conducting its elections on time."
"Pakistan vs Nepal Live Streaming, Asia Cup 2023: When and where to watch PAK vs NEP and tournament opening ceremonySign In to read",PAK vs NEP Asia Cup 2023 Live Streaming: Pakistan will play Nepal in the opening match of Asia Cup 2023.
MS Dhoni groomed bowlers and left complete package with Virat Kohli: Ishant SharmaSign In to read,"It was under Dhoni's leadership that the likes of pacers Mohammad Shami, Umesh Yadav, Bhuvneshwar Kumar and Jasprit Bumrah made their debuts."
Rishabh Pant visits India”s training camp ahead of Asia CupSign In to read,"Pant, who is on a long comeback trail with no set timeline of return, is making strong recovery from the injuries suffered in the horrific car accident last December."
Kane Williamson given two weeks to prove fitness for World CupSign In to read,The star batter hasn't played any cricket since March when he ruptured the ACL (anterior cruciate ligament) in his right knee while fielding for Gujarat Titans in the IPL. He underwent surgery in April.
It’s not that we are experimenting for the sake of experimenting: Rahul Dravid on chatter surrounding Indian middle order lineupSign In to read,"Both Iyer and Rahul have recovered and are part of India's Asia Cup squad. However, Rahul will miss the first two games due to a niggle."
"Prannoy achieves career-high world ranking of No. 6, Sindhu jumps to No 14Sign In to read","The 31-year-old Kerala shuttler, who eliminated world Number 1 and Olympic champion Viktor Axelsen en route to his maiden World Championships bronze, rose three spots with 72437 points in his kitty."
Sunil Chhetri rested as Stimac names 23-member squad for King’s CupSign In to read,The Indian captain will however be back in the Indian team for the Asian Games.
"‘India vs Pakistan surpasses the Ashes,’ says Tom MoodySign In to read","The last four meetings between the India and Pakistan have been all in T20Is, with both the teams having shared the spoils."
"KL Rahul to miss India’s opening two Asia Cup games, confirms head coach DravidSign In to read",KL Rahul will be staying back at the NCA and a call on his participation in the tournament will be taken on September 4.
"WATCH: Bumrah goes full tilt against Gill, Kohli takes on Siraj, and Rahul dons the gloves in Team India’s pre-Asia Cup trainingSign In to read",Mohammed Siraj was also bowling short-pitched stuff to Virat Kohli who did not back down from the challenge and whacked him away over the on-side.
Ruthless Novak Djokovic makes winning return to US Open 2023Sign In to read,"Firing on all cylinders, Djokovic broke the overwhelmed Frenchman to open the match and never took his foot off the gas, closing out the first set in 23 minutes with a thundering ace."
‘You gave me luck’: Cristiano Ronaldo hugs blind Al Nassr fan after victorySign In to read,Cristiano Ronaldo's arrival at Al Nassr was met with great fanfare.
Alvaro Morata scores twice as Atletico Madrid thrash Rayo 7-0Sign In to read,"Atletico Madrid are second in the LaLiga standings, level on seven points with Barcelona and Girona. They trail leaders Real Madrid by two points, while Rayo are eighth with six points."
Watch: Marijuana smell bothers Maria Sakkari during her loss in the US Open’s first roundSign In to read,"Nick Kyrgios complained about smelling marijuana during a match last year, saying afterward he is asthmatic and the smell probably wasn't good for him when he was running around."
Spanish soccer federation leaders ask president Rubiales to resign over his kiss of playerSign In to read,"Rubiales was suspended from office Saturday by soccer’s governing body FIFA, which is investigating his conduct."
Coco Gauff comes back to win at the US Open but slams chair umpire over opponent’s slow playSign In to read,"Once she had the lead, the biggest frustration for Gauff was the way Siegemund would make her wait to play the next point."
Magnus Carlsen ‘willing to play Hans Niemann in future events’ after agreementSign In to read,"Niemann will be allowed to play in all events via Chess.com, and will be treated no differently from any other player, the portal said."
Odisha CM announces cash award for javelin thrower Kishore JenaSign In to read,Javelin thrower Kishore Jena finished fifth in the final of the men's javelin throw at the World Championships .
Spanish soccer federation asks UEFA for suspension in apparent leverage play to protect Luis  RubialesSign In to read,"The move was widely seen as an attempt to silence some of Rubiales' critics, including government ministers who have asked for his removal, as such a suspension would ban Spanish teams from competitions like the Champions League and could sway public opinion in favour of letting him keep his job."
Vinicius Jr sidelined for several weeks with thigh injurySign In to read,Vinicius is expected to be sidelined for five to six weeks and will miss Brazil's first two qualifiers for the 2026 World Cup against Bolivia and Peru in September.
Neeraj Chopra vs Arshad Nadeem: An India-Pak rivalry minus the toxicitySign In to read,Both javelin throwers are happy at each other’s success and revelling in the subcontinent becoming the hub of the discipline.
Suryakumar Yadav determined to ‘crack the code’ in most challenging formatSign In to read,"The right-handed batter is a part of the 18-member squad for the Asia Cup and looks set to make the World Cup team too, but he knows he has to turn the tide in his favour."
"‘You can tell me we’re not going to change anything, please coach go home, and I will go home happily’: India football coach Igor Stimac on club vs country debateSign In to read","The ISL clubs have argued that since the training camp falls outside the dates earmarked by FIFA for the national teams, they are not obligated to let the players go."
Weightlifter Mirabai Chanu won’t lift at World Championships but will attend weigh-in to remain eligible for Paris OlympicsSign In to read,"According to the rules, athletes need not necessarily attempt a lift at world championships but need take part in the weigh-in and make themselves available for the doping tests to be eligible for Olympics."
Difficult situations still excites me after 15 years of international cricket: Virat KohliSign In to read,"The 13th edition of the quadrennial extravaganza will be played in India across October and November, and Kohli said he is gearing up for the challenge of playing a World Cup at home."
"India, this is for you: Neeraj Chopra posts after winning gold at World Athletics ChampionshipsSign In to read","On Sunday, Chopra became the first Indian to win a gold medal in the World Championships which was the only missing trophy in his decorated cabinet."
Dilshan Madushanka joins Sri Lanka’s list of injured bowlersSign In to read,"Madushanka had torn an oblique muscle during a practice game on Friday, and may even be battling to regain fitness ahead of the World Cup, Arjuna de Silva, Sri Lanka Cricket's chairman of the medical committee said."
"Arshad Nadeem keeps watching videos of Neeraj Chopra on his mobile phone, says father Muhammad AshrafSign In to read","Javelin thrower Arshad Nadeem's mason father says that after finishing second behind Neeraj Chopra in the World Championship final, his son will now aim for a medal at the Olympics next year"
Manuel Neuer returns to training with Bayern Munich”s goalkeepers after he broke his leg skiingSign In to read,"Bayern said in a statement that “the 37-year-old captain completed a session with his goalkeeping colleagues” and that he “has now taken the next step on the comeback trail."""
Good vibes only: Rishabh Pant shares video of himself cycling as rehabilitation process continuesSign In to read,"In December, Pant had the accident after his car collided with a road divider on the Delhi-Dehradun highway."
Neeraj and I are happy that we are dominating a sport once dominated by Europeans: Arshad NadeemSign In to read,"In cricket-crazy Pakistan, Nadeem has become the toast of the nation after becoming its first athlete to win a medal at the World Athletics Championship."
India will be known as sporting country in 10-15 years: Sunil GavaskarSign In to read,The former India captain also spoke about cricket and said Sri Lanka should not be forgotten amid the talk of India-Pakistan rivalry in the Asia Cup.
Luis Rubiales’ mother goes on hunger strike in Spain over ‘hunt’ on son -ReportSign In to read,"Angeles Bejar said her strike would last ""until a solution is found to the inhumane and bloody hunt they are carrying out against my son with something he does not deserve"", according to EFE."
"In next two months, I want to create memories with this team: Rohit SharmaSign In to read",Rohit will have an unenviable task of telling at least three out of 18 members of the core group that they won't be a part of World Cup's exclusive 15.
Kane Williamson given two weeks to prove fitness for World CupSign In to read,"Kane Williamson underwent surgery after suffering a ruptured anterior cruciate ligament (ACL) in the Indian Premier League in early April,"
India-Pakistan Javelin brotherhood: Neeraj Chopra asks a flag-less Arshad Nadeem to join him for photo at Worlds. How often have they competed in the past?Sign In to read,This was the 8th time they competed together at world events. Here is a look at the times from the past when the duo faced each other.
"‘You only live once, so why not’: Caroline Wozniacki on returning to Grand Slam tennis three years after retiringSign In to read",Caroline Wozniacki announced in June that she was returning to competition three years after retiring.
"As Neeraj Chopra makes history, javelin gets a running start in his villageSign In to read","In his hometown, Chopra provides equipment, and a hefty source of inspiration, to kids engaged in track and field training at a local government school."
"Watch: Sunil Narine becomes first recipient of slow-overs red card, asked to leave the field by umpireSign In to read","Sunil Narine had completed his quota of four overs, with figures of 24-3, before he was withdrawn for the final over of the Patriots' innings, which yielded 18 runs."
‘A symbol of unparalleled excellence in the entire sports world’: Neeraj Chopra hailed after being crowned world championSign In to read,Neeraj Chopra's gold medal was met with widespread celebration in India.
16-year-old Lamine Yamal helps Barcelona fight back for 4-3 win at VillarrealSign In to read,"Yamal became the youngest player to appear for Barcelona in April when he was 15 years, 9 months, 16 days. Last weekend he became the youngest player to start for Barcelona in its win over Cadiz."
Ukraine’s best high jumper wins gold for her country at world championshipsSign In to read,"Ukraine’s best high jumper, a symbol of hope to her war-torn country and defiance to those who would see it ruined, won a championship"
Roberto Mancini appointed Saudi Arabia coach 2 weeks after quitting job in charge of ItalySign In to read,Mancini also won three straight Serie A titles with Inter Milan — from 2005 to 2008 — as well as steering Manchester City to the Premier League crown in 2012.
Watch: Neeraj Chopra wins historic gold with incredible 88.17 throw in javelin finalSign In to read,Neeraj Chopra entered record books becoming the first Indian to win a gold medal at the World Athletics Championships.
I felt good that Arshad threw well and it shows both India and Pakistan are growing now in javelin: Neeraj ChopraSign In to read,"Medal ceremony in Budapest was special, Chopra says because fans were not allowed because of COVID when he won gold at the Tokyo Olympics"
"India’s winning 4: Three fought injuries, fourth is a footballer-turned-sprinterSign In to read",The unheralded relay squad not only broke the Asian record but also became the first Indian team to reach a World Championship final.
India’s relay heroes finish fifth after clocking another sub-3minute raceSign In to read,"Although a little disappointed with the results in the finals, India’s takeaway has been their splendid run in the heats where they finished second behind USA and also set a new Asian record."
World Athletics Championships: Olympic champion Neeraj Chopra now world champSign In to read,"With a best effort of 88.17m, javelin thrower creates history by winning India’s first gold medal at the World Athletics Championships"
Super-sub Nunez grabs 2-1 win for 10-man Liverpool against NewcastleSign In to read,"The Uruguayan came on in the 77th minute before grabbing the limelight with two superb finishes, his first Premier League goals since scoring against Leeds United back in April."
Mr Consistency: Neeraj’s streak of sustained excellence a rarity in Indian athleticsPremium Story,"The star javelin thrower is not content with one big performance, and backs it up time after time."
"Decoding Prannoy: Big smashes, muscle power and sowing doubts into opponentsSign In to read","Putting fitness issues to bed, the 31-year-old is out muscling opponents on bigger courts catching opponents by surprise."
World Athletics Championships 2023 Highlights: Neeraj Chopra wins gold; Relay runners finish 5th; Parul Chaudhary scripts national recordSign In to read,"Javelin Throw Final, World Athletics Championships 2023: In another first, three Indians finished in top eight with Kishore Jena (84.77m) and DP Manu (84.14m) taking the fifth and sixth spots respectively."
Max Verstappen wins rainy Dutch GP to equal Vettel’s F1 record with 9th straight victorySign In to read,"The Red Bull star clinched his third straight victory from pole position at the Zandvoort track, with veteran Aston Martin driver Fernando Alonso finishing second and picking up a bonus point for the fastest lap"
Late Rodri winner fires Man City to top of tableSign In to read,"Erling Haaland, who missed a first-half penalty, opened the scoring for City just past the hour mark with a close-range header from a cross by Jack Grealish."
Big opportunity for India to lift World Cup in home conditions: Mithali RajSign In to read,"The global showpiece event will be played in India across October and November, and the hosts are aiming to bag another World Cup after winning it in 1983 and 2011"
Asia Cup will test bowlers’ readiness for 50-overs cricket: Wasim AkramSign In to read,"The Asia Cup begins on Wednesday with Pakistan taking on Nepal in the tournament-opener in Multan, but all eyes are fixed on the mega clash between arch-rivals India and Pakistan in Kandy on September 2"
An Se-young crushes Carolina Marin to become South Korea’s first world championSign In to read,"An, the 21-year-old top seed, rounded off a perfect tournament by beating two Olympic champions en route to the title. She had knocked out Tokyo gold medallist Chen Yu Fei in straight games in the semi-finals on Saturday"
"“As the father of three daughters, as a husband…”: Andres Iniesta pens down thoughts on Luis Rubiales kiss controversySign In to read",Andres Iniesta reacts to Luis Rubiales kissing Hermoso following Spain’s victory in the Women’s World Cup final.
It was a roller-coaster ride: Shreyas Iyer opens up about rehab process post surgerySign In to read,"""Feeling ecstatic to be honest, to join the team and see happy faces all around. The compassion shown by all the players was fantastic and I am thrilled to be back,"" Iyer said in an interview to BCCI.tv."
"WATCH: Messi-Mania takes over Times Square, fans in New York chant for the Inter Miami captainSign In to read","Coming off the bench, Messi scored his 11th goal in nine games for Inter Miami to break their 11-game winless streak in the Major Soccer League."
"One week after sullying the Women’s World Cup, Luis Rubiales is now a Spanish soccer outcastSign In to read","Luis Rubiales, whose leadership of Spanish soccer had already been marked by successes tinged with scandal, wrecked his career by offending millions worldwide with his conduct at the final in Sydney, Australia, when he also grabbed his crotch in a victory gesture"
"‘It’s good, Babar should be criticized,’ says Pakistan batter Abid AliSign In to read","Bouncing back from a slump in 2022, Babar has has a century and six fifties to his name off 11 ODI outings this year in the lead up to the Asia Cup and the World Cup in India."
Afghanistan recall Karim Janat for Asia CupSign In to read,The 25-year-old played his lone one-dayer in Zimbabwe in 2017 and made his test debut against Bangladesh in June this year
World Athletics Championships 2023 Live Streaming: When and where to watch 4x400m relay finalSign In to read,"4x400 Relay Final Live Telecast, World Athletics Championships 2023: Indian quartet of Muhammed Anas Yahiya, Amoj Jacob, Muhammed Ajmal Variyathodi and Rajesh Ramesh will be in action."
Indian women beat Thailand 5-4 in Asian Hockey 5s World Cup QualifierSign In to read,"For India, skipper Navjot Kaur (1st minute), Monika Dipi Toppo (1st, 7th), Mahima Choudhary (20th) and Ajmina Kujur (30th) were on target"
"Focus on nutrition, tailor-made training for specific opponents key to HS Prannoy’s successSign In to read","On Saturday, the 31-year-old from Kerala signed off with a world championships bronze in Copenhagen, Denmark, becoming only the fifth Indian men's singles player to win a medal at the prestigious event"
"Clean sweep over Afghans will inspire us, provide us momentum going into Asia Cup: Babar AzamSign In to read",The Asia Cup is set to be hosted in a hybrid model by Pakistan and Sri Lanka from August 30 till September 17
"India has entered golden era of chess, we will have 100 GMs soon, says AICF chief Sanjay KapoorSign In to read","For years, five-time World Champion Viswanathan Anand dominated the conversation on Indian chess and rightly so"
"What if Kohli, Rohit, Smith, Root is Mankaded in crucial World Cup game? All hell will break loose, says AshwinSign In to read","R Ashwin says for some winning is everything and not for many others, so we need to accept both and we need to accept both."
"Watch: Carlos Alcaraz’s bend a free kick like Roberto Carlos, well almostSign In to read",Carlos Alcaraz is a rising star in tennis and he will be one of the most exciting players to watch in US Open 2023.
Former referee Mike Dean says Anthony Taylor ‘mate’ comment ‘blown out of context’Sign In to read,"Dean, 55, was the Video Assistant Referee (VAR) during a fiery 2-2 draw at Stamford Bridge last August when Tottenham Hotspur defender Cristian Romero pulled Chelsea's Marc Cucurella to the ground by his hair at a corner."
World Athletics Championships 2023 Live Streaming: When and where to watch Neeraj Chopra’s javelin throw eventSign In to read,World Athletics Championships 2023 Javelin Throw Final Live Telecast: Neeraj Chopra will be in action in one of the most anticipated events at the World Athletics Championships.
A two-week league gave India’s badminton players chance to earn in lakhs. But a federation diktat sees them counting lossesPremium Story,"Badminton Association of India stops players from competing in the Grand Prix Badminton League. It raises a question: Until their league is resurrected in the distant future, must players not make money till then?"
"Manchester City will adapt in Pep Guardiola’s absence, says midfielder Bernando SilvaSign In to read","Guardiola is recovering from the surgery in Barcelona, and assistant coach Juanma Lillo will replace the Spaniard on the touchline."
Chelsea completes signing of Serbia goalkeeper Djordje Petrovic from New England RevolutionSign In to read,The 23-year-old Serbia international signed a seven-year deal at Stamford Bridge and will initially be expected to be a backup to summer signing Robert Sanchez.
"Ronaldo in Riyadh, Messi in Miami and tussle to keep Salah in Liverpool: Football in grip of turf war between Arabia, America and EuropePremium Story","The Gulf nation’s unmatched opulence, coupled with USA’s in-your-face glamour, challenges Europe’s monopoly on football."
Christian Pulisic cores again as AC Milan beat TorinoSign In to read,Pulisic scored in his first match at San Siro to set the Rossoneri on their way to a 4-1 win over Torino in Serie A.
Kylian Mbappe scores twice on Parc des Princes returnSign In to read,"Playing for the first time this season at PSG's home stadium following his contract standoff with the club, Mbappe received an ovation from supporters during the teams presentation."
Watch: Lionel Mess scores a dazzling goal in MLS debutSign In to read,Lionel Messi has 11 goals in nine games for Miami in all competitions.
India’s 4x400m relay quartet finishes second behind USA to enter World Championship finalSign In to read,"Muhammed Anas Yahiya, Amoj Jacob, Muhammed Ajmal Variyathodi and Rajesh Ramesh clock 2 minutes, 59.05 seconds to finish second in their heat behind the mighty Americans."
Disappointed not to get gold but bronze means a lot: HS PrannoySign In to read,Prannoy's dream run at the World Championships ended after he lost 21-18 13-21 14-21 to world number 3 Kunlavut Vitidsarn of Thailand in the men's singles semifinal to sign off with a bronze medal.
Badminton World Championship: Vitidsarn preys on Prannoy’s restlessness as Indian settles for a bold bronzeSign In to read,"After two gritty wins, 31-year-old from India loses 21-18, 13-21, 14-21 in the semifinals."
"At the US Open, can Coco Gauff take her prodigal career to the next level?Sign In to read","A hot streak, win against the World No. 1 Iga Swiatek, and renewed confidence under a new coach have heightened expectations for the 19-year-old to win a first Grand Slam in New York."
"Gymnastics, zero-sugar diet, smart training and self-belief: How Neeraj Chopra regained peak fitness ahead of World ChampionshipsSign In to read",Olympic champion's physio Ishaan Marwaha on what goes into getting javelin star primed for a big season.
Bruno Fernandes seals comeback win for Man Utd over ForestSign In to read,The home crowd were stunned after two minutes when Taiwo Awoniyi ran through to put Forest ahead and in disbelief two minutes later when unmarked Willy Boly headed in a second.
Arsenal held to 2-2 draw by 10-man FulhamSign In to read,"Fulham were reduced to 10 men when Calvin Bassey received a second booking for a cynical foul on Nketiah to prevent a counter-attack, but they equalised in the 87th minute when Joao Palhinha swept home from a corner to rescue a point."
S P Sethuraman wins national chess titleSign In to read,Sethuraman drew his 11th and final game against Mitrabha Guha (West Bengal) as the top players chose to play it safe in the concluding round
"Neeraj Chopra primed to win World C’ships gold, Pakistan’s Nadeem also in reckoningSign In to read","Chopra, who won silver in the last edition, sent his spear to 88.77m in his first attempt in the qualification round on Friday to also qualify for 2024 Paris Olympics. It was his season's best effort and fourth best throw of his career"
James Maddison opens Tottenham account in win at BournemouthSign In to read,"The England midfielder, signed from relegated Leicester City, was in scintillating form again for his new club, scoring from close range in the 17th minute and being at the heart of most of Tottenham's best work"
"Xavi offers ‘unconditional support’ to Jenni Hermoso, condemns Spanish FA chief Luis RubialesSign In to read","After the Spanish FA chief refused to resign following worldwide outrage owing to his conduct in the aftermath of the Women's World Cup final, Hermoso has received worldwide support from the football community."
"Patch below elbow, ring on index finger: Badminton star HS Prannoy straps on science to enhance performanceSign In to read","World Championship semifinalist relies on wearable technology to monitor glucose levels, and a band to monitor workouts, training and recovery."
FIFA suspends Spanish football president Luis Rubiales over kissing Jenni Hermoso after Women’s World Cup finalSign In to read,"Rubiales had been expected to announce his resignation on Friday but instead said he would not step down, and the RFEF threatened legal action to defend him after Hermoso said she did not consent to the kiss he gave her"
Jos Buttler on having Ben Stokes back for ODI World Cup: ‘It’s a tough selection call…Harry Brook’s omission unfortunate’Sign In to read,Flip side to Stokes' U-turn from ODI retirement and his inclusion in the World Cup squad has seen 24-year-old Harry Brook miss out on England's provisional squad.
"Rameshbabu Praggnanandhaa, R Gukesh in Kolkata Asian Games camp from Aug 30Sign In to read","Grandmsters Vidit Gujarathi, Arjun Erigaisi and R Gukesh, along with veteran Pentala Harikrishna as the other member are part of the Hangzhou-bound men's squad"
"BWF World Championships 2023 Semifinal Highlights: HS Prannoy goes down to Vitidsarn 18-21, 21-13, 21-14Sign In to read","HS Prannoy vs K Vitidsarn Live Score, BWF World Championships 2023 Semifinal: Notwithstanding the loss, it was a brilliant achievement for Prannoy as he became only the fifth Indian men's singles player to win a World Championships medal."
Inter Milan re-sign Chile’s Sanchez from MarseilleSign In to read,"Sanchez, who left Inter for Marseille at the end of the 2021-22 season, has re-joined on a free transfer, signing a contract until 2024"
My family has sacrificed a lot in order to allow me to chase my dreams: Hockey player Karthi SelvamSign In to read,Karthi was the first from Tamil Nadu to be selected in the senior national men's hockey team in 13 years when he made his debut in last year's Asia Cup in Jakarta
"World Cup 2023: Netherlands bank on camps, practice matches in India to make an impactSign In to read",Netherlands will arrive in India mid-September to have an acclimatization camp in Bengaluru
Ange Postecoglou backs Richarlison to shine after Harry Kane exitSign In to read,"Richarlison, who has scored three goals and registered four assists in 37 appearances in all competitions for Spurs since joining from Everton in July last year, is yet to find the net this season"
Premier League clubs spend record 1.95 bln pounds in transfer windowSign In to read,"The transfer window, which opened on June 14, has already exceeded last year's record 1.92 billion pounds with a week remaining until the Sept. 1 deadline, Deloitte's Sports Business Group said"
"Sanjay Manjrekar calls ‘Virat-Babar’ comparison unfair, Tom Moody says Azam is a good chaser just like KohliSign In to read","Sanjay Manjrekar says Virat Kohli's career has been spanned over 15 years, while Babar Azam is still a rising star."
No space for failure in transfer market for Liverpool -Juergen KloppSign In to read,"Liverpool have signed three players so far, and with the Premier League's transfer window closing on Sept. 1"
India’s chess factory: The Chennai school that is home to nearly 1 in 5 GrandmastersPremium Story,"Out of the 83 Grandmasters India has produced, 29 are from Tamil Nadu and 15 began their journey at one school: Velammal Vidyalaya."
"How Chelsea, despite a year-long lavish spending spree, are staying within financial rulesSign In to read",The Blues’s new ownership have found a risky loophole within the rule book to spend £850m across three windows on player transfers
I think Virat Kohli is perfect for No 4: AB de VilliersSign In to read,"De Villiers agrees with former Team India coach Ravi Shastri and says Kohli's ability to ""put the innings together"" would make him the ""perfect fit."""
Jude Bellingham scores 4th goal in 3 games to give Real Madrid 1-0 win at Celta VigoSign In to read,Bellingham slipped into the area and was in position to head home the winner in the 81st minute and snatch a victory against a Celta side that had squandered its scoring chances.
Raheem Sterling scores 2 as Chelsea beats Luton 3-0 in Premier League to give Mauricio Pochettino first winSign In to read,"Nicolas Jackson added his first Chelsea goal in the 75th after being on hand to tap in a low cross from Sterling, helping ease concerns about Chelsea's scoring prowess following a loss and a draw in the team's opening two games of the season."
"Brilliant Simone Biles in control at US Championships, eyes eighth titleSign In to read","Biles' impressive Yurchenko double pike, a vault so difficult that it has never been performed by another female gymnast, was the highlight of her night as she led Shilese Jones by 2.55 points overall."
"Queen mothers and their talented sons – Kasparov, Anand or now PraggnanandhaaPremium Story","Away from the board, chess has been a matriarchy run by committed women. Hidden from the news-hounds blindly chasing the champion are the unsung heroines."
Badminton World Championships: Satwik-Chirag falter in quarterfinalsSign In to read,"The second seeds Indian's suffered a shock 21-18, 21-19 defeat against Denmark's Kim Astrup and Anders Skaarup Rasmussen."
"HS Prannoy guarantees himself a maiden World Championship medal by  outlasting World No.1 Viktor Axelsen, enters semisSign In to read","HS Prannoy beats  Viktor Axelsen 13-21, 21-15, 21-16 in the quarterfinals of World Championship; crucial to the win was also his steady net play."
BCCI president Roger Binny and vice-president Rajeev Shukla to visit Lahore for Asia CupSign In to read,"Following an invite from hosts Pakistan Cricket Board, BCCI decides to send two of its office-bearers across the border for the first time since 2008."
What lies ahead for Praggnanandhaa and pack?Sign In to read,"For the World Cup finalist, the focus would be on preparing for the Candidates; for the rest it would be a tight race for Candidates qualification."
"Asia Cup: Setback for SL as Chameera, Hasaranga injured; Perera, Fernando test Covid positiveSign In to read",Chameera could be ruled out of the Asia Cup because of a shoulder injury that he suffered during the recent Lanka Premier League (LPL).
"Gabriel Jesus fit to face Fulham, says Arsenal managerSign In to read",Jesus underwent a minor knee operation before the season started after sustaining an injury at the Qatar World Cup.
KL Rahul should only be considered if he plays as a wicket-keeper batsman: Sanjay Bangar ahead of Asia CupSign In to read,Rahul's fitness is in doubt ahead of India's Asia Cup opener against Pakistan owing to a niggle sustained during his recovery from a thigh injury.
Billie Jean King’s push for equal prize money in 1973 will be celebrated at US OpenSign In to read,That led the US Tennis Association to make the 1973 US Open the first sporting event to offer equal prize money to female and male competitors.
India clears 634 athletes for Asian Games participationSign In to read,This is up from a total of 572 athletes who participated in the 2018 Asian Games where India returned with 70 medals which included 16 Golds.
Former Premier League referee says he purposely chose not to correct a mistake on video reviewSign In to read,"Tottenham defender Cristian Romero appeared to pull Chelsea defender Marc Cucurella to the ground by his hair and Dean decided not to tell on-field referee Anthony Taylor, someone he considers a friend, to review the incident."
Spanish soccer president refuses to resign despite kissing a player on lips at FIFA Women’s World Cup 2023Sign In to read,"Rubiales kissed Jenni Hermoso on the lips during the award ceremony after Spain beat England in the final in Sydney, Australia, marring the title celebrations in front of a global audience."
"With Neeraj Chopra, sons of rice, coffee farmers from Odisha, Karnataka qualify for javelin final of World ChampionshipsSign In to read","Odisha's Kishore Kumar Jena and Karnataka's DP Manu join Olympic champion Neeraj Chopra in Sunday's men's javelin throw final, first time three Indian athletes are in the final."
"Mankading, misfield, edged boundary: Watch crazy last over of Pakistan-Afghanistan ODISign In to read",Naseem Shah replicated last year's Sharjah heroics as luck also favored Babar's men in a high-scoring thriller against familiar foes.
"Mohamed Salah not for sale, says Liverpool boss Jurgen KloppSign In to read","Salah has scored 187 goals in 307 appearances since joining Liverpool in 2017, helping the club win the Premier League and Champions League."
"Watch: Babar loses cool, Shaheen refuses to shake hands with Afghanistan playersSign In to read",Babar Azam has confronted Mohammad Nabi after the match over the controversial run out of Shadab Khan in the second ODI.
"World Athletics Championships 2023 Highlights: Neeraj Chopra qualifies for final, DP Manu and Kishore Jena also book spotsSign In to read",Neeraj Chopra World Athletics Championships 2023 Live Updates: The 25-year-old Chopra's qualifying round lasted just a few minutes as he sent the spear to his season's best distance in his first attempt. He topped Group A qualification round.
Do not give Tilak Varma a debut in big tournament like Asia Cup: Krishnamachari SrikkanthSign In to read,The Hyderbad-based player also has an impressive record in domestic cricket in the 50-over format. In 25 List A games he scored 1236 runs at an average of 56.18
Manchester United’s Luke Shaw out for ‘number of weeks’ with muscle injurySign In to read,"The issue is still being assessed but the left back had been ruled out of ""forthcoming games"", it added"
"BWF World Championship 2023 Highlights: HS Prannoy defeats Viktor Axelsen, Satwik-Chirag crash outSign In to read","World Championships 2023 Quarterfinals Highlights: Satwiksairaj Rankireddy and Chirag Shetty lost 21-18, 21-19 to their Danish opponents Kim Astrup and Anders Skaarup Rasmussen in the quarterfinals to crash out."
Mohamed Salah agrees a move to Saudi club Al-IttihadSign In to read,"“There's nothing to talk about from our point of view,” coach Jurgen Klopp also said on Friday. ""Mo Salah is a Liverpool player. Obviously for the things we do, essential. ""There's nothing there. If there would be something, the answer would be no."""
Pakistan edges Afghanistan by one wicket in a tense ODISign In to read,No. 10 batter Naseem Shah (10 not out) edged seamer Fazalhaq Farooqi for a winning boundary off the penultimate ball as Pakistan reached 302-9 and got a decisive 2-0 lead in the three-match series
Nike to sell women’s goalkeeper kits after England’s Earps supports campaignSign In to read,"While fans were able to buy their national teams' replica kits, the goalkeeper's jersey was not on sale during the women's World Cup, which led to criticism from Golden Glove winner Earps and a petition shared by her which had over 150,000 signatures"
Spanish federation chief Luis Rubiales to quit over kiss scandal – ReportSign In to read,Rubiales has been under fire after kissing Hermoso on the lips while handing the team their medals after they beat England 1-0 in the final in Sydney on Sunday
"Pragg loses to Carlsen, misses top chess title, but leaves his markSign In to read","Pragg, who turned 18 during the World Cup, is the youngest finalist ever. The teenager from Chennai, who was seeded 31, now also holds the distinction of being the lowest seed to make it to the final."
Belligerent Chirag dictates play as India’s top doubles pair inches closer to pinnacleSign In to read,Shuttler covers for partner Satwik as the duo beats 10th seeds Carnando-Marthin of Indonesia to enter quarterfinals of World Championships .
